"","name","lon","lat","address","zip"
"1","Aigle - Chablais Centre",6.9364455,46.3167026,"Ch. Sous-le-Grand Pr\u00e9 4","1860"
"2","Alnatura Bio Super Markt Bern",7.443384,46.9475701,"B\u00e4renplatz 8","3011"
"3","Alterswil",7.2597819,46.7948011,"Dorfzentrum Alpenrose","1715"
"4","Avenches",7.0451655,46.8854592,"Route de Pr\u00e9-Vert 5","1580"
"5","Blonay",6.8952017,46.4644668,"Route du Village 37","1807"
"6","Bolligen",7.4968721,46.9701472,"Bolligenstrasse 90","3065"
"7","Boudry",6.8454068,46.9539937,"Route de vignoble 13","2017"
"8","Bremgarten Kalchacker",7.4375202,46.9753771,"Kalchackerstrasse 9","3047"
"9","Bulle",7.0563577,46.6233565,"Rue de l'Europe 82","1630"
"10","Bulle - Gruy\u00e8re-Centre",7.0574539,46.6232086,"Rue Ch\u00e2teau d'En-Bas 2","1630"
"11","Chamoson",7.2233814,46.2020085,"Chemin Neuf 2","1955"
"12","Chavannes - Renens",6.5763873,46.5364692,"Avenue du Tir-F\u00e9d\u00e9ral 12","1022"
"13","Chavannes La Cerisaie Outlet",6.5674249,46.5282782,"Route de la Maladi\u00e8re 6","1022"
"14","Cheseaux",6.6013953,46.5825542,"Route de Gen\u00e8ve 9a","1033"
"15","Chez-le-Bart - B\u00e9roche",6.7838713,46.8996814,"Rue de Combamare 21","2025"
"16","Ch\u00e2tel-St-Denis",6.9048889,46.5237831,"Rte de Montreux 56","1618"
"17","Ch\u00eane-Bougeries",6.1865501,46.2033483,"Ch. de la Gradelle 40","1224"
"18","Ch\u00eane-Bourg",6.1943164,46.1963267,"Avenue de Bel-Air 12","1225"
"19","Clarens - Centre",6.8934821,46.4412673,"Rue du L\u00e9man 9","1815"
"20","Collombey",6.9566145,46.2652306,"Entre-deux-Fossaux","1868"
"21","Collombey",6.9531105,46.2672488,"Pr\u00e9 du Pont 103","1868"
"22","Collonge-Bellerive - V\u00e9senaz",6.1995331,46.2409626,"Route de Thonon 55","1245"
"23","Colombier",6.8517986,46.9672459,"Avenue de la Gare 16","2013"
"24","Conthey",7.3014206,46.2245292,"Route Cantonale 25","1964"
"25","Conthey - Forum des Alpes",7.3009436,46.2235391,"Route des Rottes 15","1964"
"26","Cortaillod",6.8429599,46.9442979,"Chemin de Ronzi 2","2016"
"27","Cossonay",6.5066553,46.6137634,"Route des Chavannes 1","1304"
"28","Courtepin",7.1201102,46.8656187,"Route de l'Industrie 25","1784"
"29","Crans-Montana",7.4732188,46.3094446,"Route du Rawyl 32","3963"
"30","Crissier",6.5690604,46.5543608,"Chemin du Closalet 7","1023"
"31","Cugy",6.6414782,46.5877538,"Route de Bottens 1","1053"
"32","Domdidier",7.0092891,46.8653776,"Grand-Rhain 54","1564"
"33","D\u00fcdingen",7.19207,46.8469871,"K\u00e4sereistrasse 3","3186"
"34","Echallens",6.6360482,46.6388941,"Rue de Praz-Palud 2","1040"
"35","Ecublens - Croset",6.5649077,46.5345194,"chemin du Croset 7","1024"
"36","Ecublens - EPFL",6.5645584,46.5230466,"Louis Favre 8A","1024"
"37","Epalinges",6.6708585,46.5485622,"Place de la Croix-Blanche 11","1066"
"38","Erde",7.2878921,46.2376096,"Scex-Riond / CP 48","1976"
"39","Estavayer-le-Lac",6.8513418,46.847963,"Route de la Chapelle 24","1470"
"40","Etoy",6.4259736,46.4737122,"Route Suisse 26","1163"
"41","Etoy",6.4185074,46.474662,"Rte Noyer Girod 1","1163"
"42","Etoy (march\u00e9 sp\u00e9cialis\u00e9)",6.4181966,46.4745693,"Route de Noyer-Girod 3","1163"
"43","Etrembi\u00e8res (F)",6.2322629,46.1810413,"CC Shopping-Etrembi\u00e8res","74112"
"44","Flamatt",7.3191353,46.8896931,"Bernstrasse 36","3175"
"45","Flamatt - Bernstrasse 50",7.323263,46.8899632,"Bernstrasse 50","3175"
"46","Fleurier",6.5805278,46.9020353,"Grand-Rue 27","2114"
"47","Fribourg - Beauregard",7.1444374,46.8006068,"Chemin de B\u00e9thl\u00e9em 7","1700"
"48","Fribourg - P\u00e9rolles",7.152315,46.7997003,"Boulevard de P\u00e9rolles 21 A","1700"
"49","Fribourg - Schoenberg",7.1723464,46.8097786,"Chemin Cit\u00e9-des-Jardins 13A","1700"
"50","Fribourg - St. Pierre M-Express",7.1543652,46.8034025,"Rue St-Pierre 2","1700"
"51","Fribourg AMAG",7.1337955,46.7992026,"Route de Villars 108","1752"
"52","Fribourg Jura",7.139124,46.8114955,"Route du Jura 73","1700"
"53","Fribourg Ste-Th\u00e9r\u00e8se",7.1490104,46.8101267,"Route de Sainte-Th\u00e9r\u00e8se 2a","1700"
"54","Frutigen",7.6483603,46.5856019,"Kanderstegstrasse 31","3714"
"55","Fully",7.1195505,46.136455,"Rue de Provence 4","1926"
"56","Gen\u00e8ve - Champel",6.152497,46.1907663,"Avenue de Champel 61","1206"
"57","Gen\u00e8ve - Charmilles",6.1231482,46.2082241,"Promenade de l'Europe 11","1203"
"58","Gen\u00e8ve - Cointrin",6.1078241,46.224419,"Avenue Louis-Casa\u00ef 73","1216"
"59","Gen\u00e8ve - Cointrin A\u00e9roport",6.1102265,46.2312856,"Route de l'A\u00e9roport 25","1215"
"60","Gen\u00e8ve - Cornavin Gare",6.1422156,46.2098132,"Place de Cornavin 3-7","1201"
"61","Gen\u00e8ve - Eaux-Vives",6.1585088,46.2039608,"Rue des Eaux-Vives 17-19","1207"
"62","Gen\u00e8ve - Fusterie M-Express",6.1461998,46.2039287,"Place de la Fusterie 7","1204"
"63","Gen\u00e8ve - Jonction",6.1306224,46.2007896,"Boulevard Carl-Vogt 6","1205"
"64","Gen\u00e8ve - Les Cygnes",6.1449087,46.2113723,"Rue de Lausanne 18-20","1201"
"65","Gen\u00e8ve - Navigation",6.14974,46.212579,"Rue des Paquis 41","1201"
"66","Gen\u00e8ve - Plainpalais",6.1435018,46.1931467,"Rue de Carouge 64","1205"
"67","Gen\u00e8ve - Rieu",6.1639476,46.1919217,"Route de Florissant 86","1206"
"68","Gen\u00e8ve - Servette",6.1296584,46.2134099,"Rue de la Servette 93","1202"
"69","Gen\u00e8ve - Tourelle",6.1258169,46.2243865,"Chemin de la Tourelle 2-4","1209"
"70","Gen\u00e8ve - Vidollet",6.1391683,46.2162367,"Rue du Vidollet 5","1202"
"71","Gen\u00e8ve - Villereuse",6.1588299,46.2007706,"Rue de la Terrassi\u00e8re 29","1207"
"72","Gen\u00e8ve Montbrillant",6.1404602,46.2198335,"Rue de Montbrillant 67","1207"
"73","Givisiez",7.1370774,46.8119849,"Impasse de la Colline 2","1762"
"74","Gland",6.2756695,46.4170516,"Rue de Mauverney 22","1196"
"75","Gland",6.2724682,46.4149466,"Avenue du Mont-Blanc 34","1196"
"76","Gradelle",6.1812063,46.2054501,"Chemin de la Gradelle 10","1224"
"77","Grand-Lancy - Palettes",6.1223706,46.1749719,"Av. des Communes-R\u00e9unies 52","1212"
"78","Granges - Paccot",7.1489877,46.8289721,"Route d'Englisberg 15b","1763"
"79","Granges-Paccot",7.1516595,46.8219444,"Route de Morat 130","1763"
"80","Granges-Paccot - Centre",7.1539379,46.8209959,"route d'Agy 2","1763"
"81","Gstaad",7.2825683,46.4782457,"Untergstaadstrasse 3","3780"
"82","G\u00fcmligen",7.5042952,46.93282,"Turbenweg 1","3073"
"83","Haute-Nendaz",7.2918787,46.182229,"Lake Placid, rte des Ecluses 23","1997"
"84","Bi\u00e8re",6.3321026,46.5380702,"Le Centre","1145"
"85","Bursins",6.2972544,46.4446744,"La C\u00f4te / A1 Sud","1183"
"86","Bussigny",6.5530928,46.5475444,"Rue de la Gare 2","1030"
"87","Bussigny",6.551894,46.5476654,"Place de la Gare 1","1030"
"88","Hilterfingen",7.6586756,46.7353444,"Staatsstrasse 16b","3652"
"89","Hinterkappelen (Provisorium)",7.3793063,46.965837,"Kappelenring 11c","3032"
"90","H\u00fcnibach",7.6454474,46.7451794,"Staatsstrasse 134","3626"
"91","Ittigen",7.4852772,46.9742162,"Talweg 6","3063"
"92","Ittigen - Grauholz",7.4778766,46.9897356,"Grauholz-S\u00fcd A1","3063"
"93","Kerzers",7.1939798,46.9737039,"Murtenstrasse 15","3210"
"94","Konolfingen",7.6212211,46.8754023,"Thunstrasse 21","3510"
"95","K\u00f6niz - Bl\u00e4uacker",7.414453,46.9235082,"Bl\u00e4uacker 10","3098"
"96","La Roche",7.1419287,46.6980151,"Haut de Scherwil 2","1634"
"97","La Tour de Tr\u00eame",7.0758334,46.6004826,"Route de Pra-Riond 2","1635"
"98","La Tour-de-Peilz",6.8579143,46.4525336,"Place des Anciens-Foss\u00e9s 10B","1814"
"99","La Tour-de-Tr\u00eame",7.0751656,46.6007953,"Rte de Pra-Riond 4","1635"
"100","La Vall\u00e9e",6.2305712,46.6058382,"Rue de la Gare 7","1347"
"101","Lancy-Onex",6.1100997,46.1885214,"Rue des Bossons 78-80","1213"
"102","Langnau i.E.",7.787702,46.9398058,"Schlossstrasse 1a","3550"
"103","Lausanne",6.605965,46.517094,"Av. des Figuires 32","1007"
"104","Lausanne - Bellevaux",6.6333517,46.5376065,"Route Aloys-Fauquez 97","1018"
"105","Lausanne - Bergi\u00e8res",6.618466,46.5314548,"Avenue des Bergi\u00e8res 50","1004"
"106","Lausanne - Chailly",6.6515176,46.5273163,"Avenue de la Vallonnette 2","1012"
