"","name","type","lon","lat","address","zip"
"1","Aachtal","m",9.2732473,47.5482982,"Schrofenstrasse 19","8580"
"2","Aadorf","m",8.8994059,47.4900907,"Bahnhofstrasse 2","8355"
"3","Aarau","mig",8.0515956,47.3919981,"Bahnhofplatz 4","5000"
"4","Aarau - Igelweid","mm",8.0461249,47.3917137,"Igelweid 18","5000"
"5","Aarau Bahnhof","m",8.0521391,47.3916721,"Bahnhofplatz 3h","5000"
"6","Abtwil - Säntispark","mm",9.316473,47.4174113,"Wiesenbachstrasse 7","9030"
"7","Adligenswil","dmp",8.3619211,47.0715393,"Obgardirain 1","6043"
"8","Adliswil","mm",8.5252672,47.3112824,"Albisstrasse 10","8134"
"9","Aesch","mm",7.5960676,47.4694175,"Hauptstrasse 95","4147"
"10","Affoltern a. A.","mm",8.453809,47.2780275,"Oberdorfstrasse 4","8910"
"11","Affoltern am Albis","soca",8.4457167,47.2750156,"Obfelderstrasse 1","8910"
"12","Agno","mgls",8.9056394,45.9983117,"Via Lugano 21","6982"
"13","Aigle - Chablais Centre","mmm",6.9364455,46.3167026,"Ch. Sous-le-Grand Pré 4","1860"
"14","Allschwil - Binningerstr.","mgls",7.5463149,47.5485219,"Binningerstrasse 91","4123"
"15","Allschwil - Paradies","mmm",7.5535788,47.5474626,"Spitzwaldstrasse 215","4123"
"16","Allschwil - Paradies Pop-Up Store","fm",7.5534429,47.5473935,"Spitzwaldstrasse 215","4123"
"17","Allschwil - Stockbrunnenrain","shell",7.5536691,47.5462124,"Stockbrunnenrain 2","4123"
"18","Allschwil - Ziegelei","m",7.5499775,47.5530962,"Baslerstrasse 191","4123"
"19","Allschwil-Lindenplatz","dmp",7.5603772,47.5578704,"Lindenplatz 1","4123"
"20","Alnatura Bio Super Markt - Glattzentrum","alna",8.5952402,47.4082791,"Neue Winterthurerstrasse 99","8304"
"21","Alnatura Bio Super Markt Bern","alna",7.443384,46.9475701,"Bärenplatz 8","3011"
"22","Alnatura Bio Super Markt Bülach","alna",8.5399111,47.5209742,"Bahnhofstrasse 28","8180"
"23","Alnatura Bio Super Markt Luzern","alna",8.3083917,47.0544369,"Hertensteinstrasse 40","6004"
"24","Alnatura Bio Super Markt Metalli Zug","alna",8.517689,47.1725892,"Baarerstrasse 22","6300"
"25","Alnatura Bio Super Markt Oerlikon","alna",8.543878,47.4087478,"Baumackerstrasse 35","8050"
"26","Alnatura Bio Super Markt Uster","alna",8.7155557,47.3498692,"Zürichstrasse 20","8610"
"27","Alnatura Bio Super Markt Winterthur-Grüze","alna",8.7533556,47.4967661,"Industriestrasse 11","8400"
"28","Alnatura Bio Super Markt Winterthur-Neuwiesen","alna",8.7209179,47.4992804,"Strickerstrasse 3","8400"
"29","Alnatura Bio Super Markt Zürich HB - Sihlquai","alna",8.535889,47.3786818,"Sihlquai","8001"
"30","Alnatura Bio Super Markt Zürich-City","alna",8.5361463,47.3752669,"Löwenstrasse 31","8001"
"31","Alnatura Bio Super Markt Zürich-Höngg","alna",8.4982339,47.4032754,"Kappenbühlweg 5","8049"
"32","Alpnach Outlet","spez",8.2762082,46.9341853,"Untere Gründlistrasse 21","6055"
"33","Altdorf","m",8.6416105,46.8796664,"Gitschenstrasse 14","6460"
"34","Altdorf","mgls",8.626639,46.8962178,"Flüelerstrasse 154","6460"
"35","Alterswil","dmp",7.2597819,46.7948011,"Dorfzentrum Alpenrose","1715"
"36","Altstätten","mig",9.5564789,47.3743935,"Bahnhofstrasse 71","9450"
"37","Altstätten SG","mm",9.5377008,47.3771836,"Stossstrasse 2","9450"
"38","Amriswil","mm",9.2979866,47.5466866,"Rütistrasse 10a","8580"
"39","Amriswil","mgls",9.2727591,47.5448552,"Weinfelderstrasse 130","8580"
"40","Amriswil - Amriville","fm",9.2975535,47.5476347,"Kirchstrasse 11","8580"
"41","Andelfingen","m",8.6887258,47.601998,"Weinlandstrasse 4","8451"
"42","Appenzell","mm",9.4071483,47.3348204,"Unteres Ziel","9050"
"43","Arbedo Castione","m",9.0440908,46.2250903,"Via Corogna","6532"
"44","Arbon","mm",9.432242,47.5119795,"St. Gallerstrasse 6","9320"
"45","Arlesheim","mm",7.6185546,47.494261,"Postplatz 7","4144"
"46","Ascona","m",8.773702,46.1540856,"Via Muraccio 2","6612"
"47","Ascona","pica",8.7718592,46.1550202,"Via Circonvallazione 3","6612"
"48","Au SG","m",9.6377624,47.431293,"Nollenhornstrasse 9","9434"
"49","Augst","shell",7.7114805,47.5347061,"Rheinstrasse 29","4133"
"50","Avenches","m",7.0451655,46.8854592,"Route de Pré-Vert 5","1580"
"51","Avry Centre","mmm",7.0781119,46.7876479,"Route de Matran 9","1754"
"52","Avry-devant-Pont","shell",7.0853634,46.681995,"Restoroute de la Gruyère","1644"
"53","Baar","m",8.5251587,47.1954848,"Bahnhofstrasse 5","6340"
"54","Bad Ragaz","dmp",9.5014435,47.0035166,"Bahnhofstrasse 2","7310"
"55","Bad Zurzach","mm",8.2959683,47.5857967,"Promenadenstrasse 10","5330"
"56","Baden","shell",8.278909,47.4825931,"Bruggerstrasse 194","5400"
"57","Baden - Bhf. Take Away","mr",8.3078837,47.4767306,"Metro Shop, Bahnhof SBB","5400"
"58","Baden - City","mm",8.3086945,47.4768235,"Bahnhofstrasse 40/42","5400"
"59","Baden-Dättwil","shell",8.2830446,47.4564069,"Zelgweg 17","5405"
"60","Baden-Dättwil","soca",8.2908713,47.4499939,"Mellingerstrasse 216","5405"
"61","Balerna-Bisio 1","pica",9.0159183,45.8411348,"Via S. Gottardo 13","6828"
"62","Balerna-Bisio 2","pica",9.0159686,45.8415389,"Via S. Gottardo 32","6828"
"63","Balerna-Roncaglia","pica",9.0116168,45.8361298,"Via Passeggiata 24","6828"
"64","Balsthal","m",7.6955408,47.3168586,"Goldgasse 13","4710"
"65","Basel - Allschwiler","m",7.5734192,47.5559314,"Allschwilerstrasse 31","4055"
"66","Basel - Bahnhof Provisorium","m",7.5880692,47.5480506,"Centralbahnstrasse 10","4051"
"67","Basel - Birsigstrasse","dmp",7.5783333,47.5501347,"Birsigstrasse 105","4054"
"68","Basel - Burgfelder","mm",7.5724253,47.5622371,"Burgfelderstrasse 11","4055"
"69","Basel - Claramarkt","mmm",7.5920619,47.5615832,"Ochsengasse 2","4058"
"70","Basel - Drachen-Center","mm",7.5928077,47.5528056,"Aeschenvorstadt 24","4051"
"71","Basel - Dreispitz MParc","fm",7.6038713,47.5393434,"Münchensteinerstrasse 200","4053"
"72","Basel - Efringer","mm",7.5965886,47.5691589,"Efringerstrasse 32","4057"
"73","Basel - Eglisee","m",7.6152494,47.5701213,"Riehenstrasse 315","4058"
"74","Basel - Flughafenstrasse","shell",7.5695768,47.5694998,"Flughafenstrasse 100","4056"
"75","Basel - Gundelitor","mm",7.5922222,47.5435146,"Güterstrasse 180","4053"
