"","name","type","lon","lat","address","zip"
"1","Aachtal","m",9.2732473,47.5482982,"Schrofenstrasse 19","8580"
"2","Aadorf","m",8.8994059,47.4900907,"Bahnhofstrasse 2","8355"
"3","Aarau","mig",8.0515956,47.3919981,"Bahnhofplatz 4","5000"
"4","Aarau - Igelweid","mm",8.0461249,47.3917137,"Igelweid 18","5000"
"5","Aarau Bahnhof","m",8.0521391,47.3916721,"Bahnhofplatz 3h","5000"
"6","Abtwil - Säntispark","mm",9.316473,47.4174113,"Wiesenbachstrasse 7","9030"
"7","Adliswil","mm",8.5252672,47.3112824,"Albisstrasse 10","8134"
"8","Aesch","mm",7.5960676,47.4694175,"Hauptstrasse 95","4147"
"9","Affoltern a. A.","mm",8.453809,47.2780275,"Oberdorfstrasse 4","8910"
"10","Affoltern am Albis","soca",8.4457167,47.2750156,"Obfelderstrasse 1","8910"
"11","Agno","mgls",8.9056394,45.9983117,"Via Lugano 21","6982"
"12","Aigle - Chablais Centre","mmm",6.9364455,46.3167026,"Ch. Sous-le-Grand Pré 4","1860"
"13","Allschwil - Binningerstr.","mgls",7.5463149,47.5485219,"Binningerstrasse 91","4123"
"14","Allschwil - Paradies","mmm",7.5535788,47.5474626,"Spitzwaldstrasse 215","4123"
"15","Allschwil - Stockbrunnenrain","shell",7.5536691,47.5462124,"Stockbrunnenrain 2","4123"
"16","Allschwil - Ziegelei","m",7.5499775,47.5530962,"Baslerstrasse 191","4123"
"17","Altdorf","m",8.6416105,46.8796664,"Gitschenstrasse 14","6460"
"18","Altdorf","mgls",8.626639,46.8962178,"Flüelerstrasse 154","6460"
"19","Altstätten","mig",9.5564789,47.3743935,"Bahnhofstrasse 71","9450"
"20","Altstätten SG","mm",9.5377008,47.3771836,"Stossstrasse 2","9450"
"21","Amriswil","mm",9.2979866,47.5466866,"Rütistrasse 10a","8580"
"22","Amriswil","mgls",9.2727591,47.5448552,"Weinfelderstrasse 130","8580"
"23","Andelfingen","m",8.6887258,47.601998,"Weinlandstrasse 4","8451"
"24","Appenzell","mm",9.4071483,47.3348204,"Unteres Ziel","9050"
"25","Arbedo Castione","m",9.0440908,46.2250903,"Via Corogna","6532"
"26","Arbon","mm",9.432242,47.5119795,"St. Gallerstrasse 6","9320"
"27","Arlesheim","mm",7.6185546,47.494261,"Postplatz 7","4144"
"28","Ascona","m",8.773702,46.1540856,"Via Muraccio 2","6612"
"29","Ascona","pica",8.7718592,46.1550202,"Via Circonvallazione 3","6612"
"30","Au SG","m",9.6377624,47.431293,"Nollenhornstrasse 9","9434"
"31","Augst","shell",7.7114805,47.5347061,"Rheinstrasse 29","4133"
"32","Avenches","m",7.0451655,46.8854592,"Route de Pré-Vert 5","1580"
"33","Avry Centre","mmm",7.0781119,46.7876479,"Route de Matran 9","1754"
"34","Avry-devant-Pont","shell",7.0853634,46.681995,"Restoroute de la Gruyère","1644"
"35","Baar","m",8.5251587,47.1954848,"Bahnhofstrasse 5","6340"
"36","Bad Zurzach","mm",8.2959683,47.5857967,"Promenadenstrasse 10","5330"
"37","Baden","shell",8.278909,47.4825931,"Bruggerstrasse 194","5400"
"38","Baden - City","mm",8.3086945,47.4768235,"Bahnhofstrasse 40/42","5400"
"39","Baden-Dättwil","shell",8.2830446,47.4564069,"Zelgweg 17","5405"
"40","Baden-Dättwil","soca",8.2908713,47.4499939,"Mellingerstrasse 216","5405"
"41","Balerna-Bisio 1","pica",9.0159183,45.8411348,"Via S. Gottardo 13","6828"
"42","Balerna-Bisio 2","pica",9.0159686,45.8415389,"Via S. Gottardo 32","6828"
"43","Balerna-Roncaglia","pica",9.0116168,45.8361298,"Via Passeggiata 24","6828"
"44","Balsthal","m",7.6955408,47.3168586,"Goldgasse 13","4710"
"45","Basel - Allschwiler","m",7.5734192,47.5559314,"Allschwilerstrasse 31","4055"
"46","Basel - Bahnhof Provisorium","m",7.5880692,47.5480506,"Centralbahnstrasse 10","4051"
"47","Basel - Burgfelder","mm",7.5724253,47.5622371,"Burgfelderstrasse 11","4055"
"48","Basel - Claramarkt","mmm",7.5920619,47.5615832,"Ochsengasse 2","4058"
"49","Basel - Drachen-Center","mm",7.5928077,47.5528056,"Aeschenvorstadt 24","4051"
"50","Basel - Efringer","mm",7.5965886,47.5691589,"Efringerstrasse 32","4057"
"51","Basel - Eglisee","m",7.6152494,47.5701213,"Riehenstrasse 315","4058"
"52","Basel - Flughafenstrasse","shell",7.5695768,47.5694998,"Flughafenstrasse 100","4056"
"53","Basel - Gundelitor","mm",7.5922222,47.5435146,"Güterstrasse 180","4053"
"54","Basel - Hardstrasse","m",7.60725,47.5493666,"Hardstrasse 105","4052"
"55","Basel - Juniors Market","m",7.6017522,47.5585931,"Grenzacherstrasse 62/64","4058"
"56","Basel - Märtplatz","m",7.5877372,47.5592591,"Eisengasse 12","4051"
"57","Basel - Mülhauser","m",7.5796836,47.5685421,"Mülhauserstrasse 70-72","4056"
"58","Basel - Neuweiler","m",7.5642044,47.5469569,"Neuweilerplatz 7","4054"
"59","Basel - Schützenmatt","m",7.581231,47.555886,"Schützenmattstrasse 27","4051"
"60","Basel - Stücki","m",7.5957171,47.579952,"Hochbergerstrasse 70","4057"
"61","Basel Hochbergstrasse","mgls",7.5942316,47.580954,"Hochbergstrasse 106","4057"
"62","Basel Weil","mgls",7.60347,47.593856,"Autobahn Raststätte A2/A5","4016"
"63","Bassersdorf","mm",8.6298002,47.4422909,"Baltenswilerstrasse 5a","8303"
"64","Bauma","m",8.8775133,47.3681049,"Heinrich - Gujerstrasse 10","8494"
"65","Bavois-Alpes","shell",6.570611,46.6739849,"Restoroute de Bavois","1372"
"66","Bavois-Jura","shell",6.5693753,46.6736156,"Restoroute de Bavois","1372"
"67","Bazenheid","m",9.0682158,47.4126848,"Wilerstrasse 17","9602"
"68","Belfaux","m",7.1131443,46.8259234,"route de Lossy 16b","1782"
"69","Bellinzona","shell",9.0395113,46.2139534,"Autostrada Nord","6500"
"70","Bellinzona","soca",9.0289299,46.1991221,"Via San Gottardo","6500"
"71","Bellinzona - Piazza del Sole","mm",9.0243305,46.1937973,"Piazza Rinaldo Simen 8","6500"
"72","Bellinzona-Nord","pica",9.0382178,46.2065522,"Via San Gottardo 104","6500"
"73","Belp","mm",7.4926529,46.8964728,"Steinbachstrasse 28","3123"
"74","Berikon - Mutschellen","m",8.3664932,47.3631663,"Bellikerstrasse 13","8965"
"75","Beringen","m",8.5838803,47.6963713,"Schaffhauserstrasse 72","8222"
"76","Bern - Bachmätteli","mm",7.3900576,46.9392241,"Bottigenstrasse 7","3018"
"77","Bern - Bahnhof","mm",7.4401642,46.949378,"Bahnhofplatz 10","3011"
"78","Bern - Bethlehem","mm",7.3832855,46.9475326,"Riedbachstrasse 10","3027"
"79","Bern - Breitenrain","m",7.4532328,46.9580156,"Breitenrainstrasse 11","3013"
